#time content I_1 V_1 V_2 Xe_1 Xe_1V_1 Xe_1V_2 Xe_1V_3 Xe_1V_4 Xe_1V_5 Xe_1V_6 Xe_1V_7 Xe_1V_8 Xe/SD var
0 7.1e-05 0.018 0.018 0 7.1e-05 0 0 0 0 0 0 0 0 -nan -nan
1e-10 7.1e-05 0.018 0.0179914 2.59835e-15 6.24409e-05 8.55799e-06 1.70755e-17 1.97895e-26 5.90001e-38 -1.38981e-46 -1.71734e-57 -1.78986e-66 -1.58541e-77 1.47584 0.249376
2.1e-10 7.1e-05 0.018 0.0179832 5.45185e-15 5.42157e-05 1.67812e-05 7.17147e-17 1.74032e-25 1.48173e-36 4.0968e-45 1.18642e-56 -3.24022e-66 -2.48958e-76 1.28297 0.202792
3.31e-10 7.1e-05 0.018 0.0179754 8.5861e-15 4.64164e-05 2.45778e-05 1.6906e-16 6.45252e-25 8.96553e-36 4.5784e-44 3.3618e-55 3.79396e-64 9.85024e-76 1.18619 0.151346
4.641e-10 7.1e-05 0.018 0.0179681 1.20294e-14 3.9129e-05 3.1862e-05 3.14256e-16 1.67793e-24 3.32443e-35 2.46242e-43 2.70445e-54 4.84911e-63 4.22039e-74 1.12921 0.112269
6.1051e-10 7.1e-05 0.018 0.0179614 1.58131e-14 3.2429e-05 3.85585e-05 5.1235e-16 3.58979e-24 9.48719e-35 9.36778e-43 1.38379e-53 3.37603e-62 4.40943e-73 1.09226 0.0834373
7.71561e-10 7.1e-05 0.018 0.0179554 1.99716e-14 2.63777e-05 4.46063e-05 7.68215e-16 6.78393e-24 2.29669e-34 2.88768e-42 5.45354e-53 1.70513e-61 2.95298e-72 1.06685 0.0620149
9.48717e-10 7.1e-05 0.018 0.01795 2.4543e-14 2.1018e-05 4.99624e-05 1.08648e-15 1.1762e-23 4.96419e-34 7.71676e-42 1.8062e-52 6.99505e-61 1.5257e-71 1.04873 0.0459326
1.14359e-09 7.1e-05 0.018 0.0179453 2.95693e-14 1.63719e-05 5.46051e-05 1.47151e-15 1.9139e-23 9.8757e-34 1.85906e-41 5.27903e-52 2.47566e-60 6.60438e-71 1.0355 0.0337773
1.35795e-09 7.1e-05 0.018 0.0179414 3.50966e-14 1.24385e-05 5.85353e-05 1.92741e-15 2.96598e-23 1.84396e-33 4.13931e-41 1.40385e-51 7.84286e-60 2.51003e-70 1.02574 0.0245752
1.59374e-09 7.1e-05 0.018 0.0179382 4.11758e-14 9.19415e-06 6.1777e-05 2.45812e-15 4.42193e-23 3.2749e-33 8.66295e-41 3.4672e-51 2.27915e-59 8.62969e-70 1.01851 0.0176359
1.85312e-09 7.1e-05 0.0179999 0.0179355 4.78627e-14 6.59359e-06 6.43753e-05 3.06752e-15 6.38878e-23 5.58537e-33 1.72469e-40 8.06925e-51 6.18078e-59 2.73964e-69 1.01319 0.0124525
2.13843e-09 7.1e-05 0.0179999 0.0179335 5.52186e-14 4.57376e-06 6.63934e-05 3.75959e-15 8.99426e-23 9.21277e-33 3.29542e-40 1.78858e-50 1.58393e-58 8.15079e-69 1.00931 0.00863924
2.45227e-09 7.1e-05 0.0179999 0.017932 6.33109e-14 3.05844e-06 6.79073e-05 4.53868e-15 1.2391e-22 1.47765e-32 6.08406e-40 3.80644e-50 3.87232e-58 2.29786e-68 1.00653 0.00589243
2.7975e-09 7.1e-05 0.0179999 0.0179309 7.22135e-14 1.96419e-06 6.90005e-05 5.40971e-15 1.67619e-22 2.31449e-32 1.09106e-39 7.82696e-50 9.09792e-58 6.19107e-68 1.0046 0.00396663
3.17725e-09 7.1e-05 0.0179999 0.0179301 8.20076e-14 1.20652e-06 6.97575e-05 6.37844e-15 2.2327e-22 3.5525e-32 1.90861e-39 1.56282e-49 2.06626e-57 1.60489e-67 1.00329 0.00266054
3.59497e-09 7.1e-05 0.0179999 0.0179296 9.27823e-14 7.05616e-07 7.02579e-05 7.45164e-15 2.93524e-22 5.35843e-32 3.26806e-39 3.04252e-49 4.55775e-57 4.02454e-67 1.00244 0.00180908
4.05447e-09 7.1e-05 0.0179999 0.0179293 1.04635e-13 3.90927e-07 7.05723e-05 8.63736e-15 3.81608e-22 7.96148e-32 5.49307e-39 5.79464e-49 9.80238e-57 9.80621e-67 1.00191 0.00127895
4.55992e-09 7.1e-05 0.0179999 0.0179291 1.17675e-13 2.04027e-07 7.0759e-05 9.94498e-15 4.91446e-22 1.16754e-31 9.08525e-39 1.08271e-48 2.06224e-56 2.33025e-66 1.00159 0.000965831
5.11591e-09 7.1e-05 0.0179998 0.0179289 1.32019e-13 9.96942e-08 7.08633e-05 1.13854e-14 6.27819e-22 1.69281e-31 1.48165e-38 1.98944e-48 4.25567e-56 5.41718e-66 1.00142 0.000791599
5.7275e-09 7.1e-05 0.0179998 0.0179289 1.47798e-13 4.53058e-08 7.09176e-05 1.29709e-14 7.96555e-22 2.43021e-31 2.38675e-38 3.60222e-48 8.63455e-56 1.23528e-65 1.00133 0.000700931
6.40025e-09 7.1e-05 0.0179998 0.0179288 1.65155e-13 1.902e-08 7.09438e-05 1.47156e-14 1.00475e-21 3.45881e-31 3.80345e-38 6.43872e-48 1.72598e-55 2.76927e-65 1.00129 0.00065715
7.14027e-09 7.1e-05 0.0179998 0.0179288 1.84247e-13 7.33791e-09 7.09555e-05 1.6635e-14 1.26105e-21 4.88574e-31 6.00385e-38 1.13785e-47 3.40499e-55 6.11557e-65 1.00127 0.000637701
7.9543e-09 7.1e-05 0.0179997 0.0179287 2.05249e-13 2.60784e-09 7.09602e-05 1.87465e-14 1.57596e-21 6.8559e-31 9.39847e-38 1.99072e-47 6.63967e-55 1.33268e-64 1.00126 0.000629829
8.84973e-09 7.1e-05 0.0179997 0.0179287 2.28351e-13 8.81447e-10 7.0962e-05 2.10691e-14 1.96224e-21 9.56498e-31 1.46046e-37 3.45207e-47 1.28147e-54 2.87006e-64 1.00126 0.000626956
9.83471e-09 7.1e-05 0.0179997 0.0179287 2.53763e-13 3.20463e-10 7.09625e-05 2.3624e-14 2.43541e-21 1.32751e-30 2.25424e-37 5.93439e-47 2.44635e-54 6.10081e-64 1.00125 0.000626023
1.09182e-08 7.1e-05 0.0179996 0.0179286 2.81716e-13 1.60532e-10 7.09627e-05 2.64344e-14 3.01427e-21 1.83451e-30 3.46053e-37 1.01424e-46 4.64446e-54 1.28933e-63 1.00125 0.000625758
1.211e-08 7.1e-05 0.0179996 0.0179286 3.12464e-13 1.21232e-10 7.09627e-05 2.95258e-14 3.72166e-21 2.5251e-30 5.28523e-37 1.72254e-46 8.75114e-54 2.70132e-63 1.00125 0.000625694
